Año;Precio_BML;Precio_COMEX;Variacion_Anual_%;Promedio_Movil_5;Década
1990;120,879;119.08516666666667;-6,377359367375856;102,2604;1990
1991;106,066;104.87516666666666;-12,254403163494077;111,0162;1990
1992;103,573;102.72066666666666;-2,3504233213282433;115,5136;1990
1993;86,713;85.28316666666667;-16,278373707433403;109,26880000000001;1990
1994;104,903;107.05149999999999;20,977246779606308;104,4268;1990
1995;133,198;134.7168333333333;26,972536533750223;106,89059999999999;1990
1996;103,894;105.87191666666666;-22,000330335290318;106,4562;1990
1997;103,224;103.57933333333335;-0,6448880589831951;106,38640000000001;1990
1998;74,974;75.07691666666666;-27,367666434162597;104,0386;1990
1999;71,38;72.11066666666666;-4,793661802758297;97,33399999999999;1990
2000;82,294;83.97091666666667;15,289997198094717;87,1532;2000
2001;71,566;72.56649999999999;-13,036187328359294;80,6876;2000
2002;70,647;71.67200000000001;-1,2841293351591454;74,1722;2000
2003;80,734;81.05033333333334;14,27803020651972;75,32419999999999;2000
2004;130,106;128.9719166666667;61,15391284960487;87,0694;2000
2005;167,087;168.22674999999995;28,42374679107804;104,02799999999999;2000
2006;305,295;308.93508333333335;82,71618976940158;150,7738;2000
2007;323,246;322.1719166666667;5,879886666994216;201,2936;2000
2008;315,316;313.35833333333335;-2,4532399472847355;248,20999999999998;2000
2009;234,217;235.41708333333335;-25,719912722475225;269,0322;2000
2010;341,978;342.5105833333333;46,00904289611769;304,0104;2010
2011;399,656;400.5000833333333;16,86599722789186;322,8826;2010
2012;360,593;361.4495;-9,77415577396561;330,352;2010
2013;332,12;334.1140249999999;-7,896159936548964;333,7128;2010
2014;311,255;311.9960833333334;-6,282367818860656;349,12039999999996;2010
2015;249,226;250.81375;-19,928675844564747;330,57;2010
2016;220,563;219.7268333333333;-11,50080649691445;294,7514;2010
2017;279,684;280.42491666666666;26,80458644468928;278,56960000000004;2010
2018;295,88;292.56783333333334;5,790821069492691;271,3216;2010
2019;272,143;272.26725000000005;-8,022509125321086;263,49920000000003;2010
2020;280,349;279.948;3,015326501140958;269,7238;2020
2021;422,634;424.305;50,75281167402061;310,13800000000003;2020
2022;399,026;400.719;-5,58592067841206;334,0064;2020
2023;384,545;385.744;-3,629086826422334;351,73940000000005;2020
2024;414,891;421.606;7,891404126955237;380,28900000000004;2020
